{'conflicts': 63, 'french': 694, 'non detect': 2, 'english': 349}
Nombre de mails total : 1045
	- en conflicts : 63
	- en french : 694
	- en non detect : 2
	- en english : 349
Nombre de paragraphes total : 9220 (moyenne : 8.822966507177034)
	- en french : 4028
	- en non detect : 608
	- en english : 4584
Nombre de phrases total : 9419 (moyenne : 9.013397129186602)
	- en french : 4246
	- en non detect : 164
	- en english : 5009
bioinfo_2014-09_24	english
bioinfo_2014-12_29	french
bioinfo_2014-01_71	french
bioinfo_2014-09_55	french
bioinfo_2014-12_62	english
bioinfo_2014-12_19	french
bioinfo_2014-12_27	english
bioinfo_2014-02_26	english
bioinfo_2014-06_22	english
bioinfo_2014-07_6	english
bioinfo_2014-06_70	french
bioinfo_2014-01_33	french
bioinfo_2014-12_42	french
bioinfo_2014-03_22	french
bioinfo_2014-11_35	french
bioinfo_2014-04_43	english
bioinfo_2014-12_47	french
bioinfo_2014-08_17	english
bioinfo_2014-11_54	french
bioinfo_2014-04_40	french
bioinfo_2014-03_60	french
bioinfo_2014-04_30	english
bioinfo_2014-01_17	english
bioinfo_2014-11_12	french
bioinfo_2014-09_69	french
bioinfo_2014-06_1	french
bioinfo_2014-10_43	french
bioinfo_2014-04_78	french
bioinfo_2014-02_72	french
bioinfo_2014-05_80	french (conflict)
bioinfo_2014-09_60	french
bioinfo_2014-02_49	french
bioinfo_2014-02_30	english
bioinfo_2014-02_89	french
bioinfo_2014-05_29	french
bioinfo_2014-02_68	french
bioinfo_2014-10_35	french
bioinfo_2014-07_67	french
bioinfo_2014-03_3	french
bioinfo_2014-10_98	french
bioinfo_2014-05_46	french
bioinfo_2014-10_38	french
bioinfo_2014-07_92	french
bioinfo_2014-11_46	french
bioinfo_2014-04_102	english
bioinfo_2014-05_26	english
bioinfo_2014-05_63	french
bioinfo_2014-06_2	french
bioinfo_2014-07_60	french
bioinfo_2014-06_81	english
bioinfo_2014-10_86	english
bioinfo_2014-05_21	english
bioinfo_2014-06_16	french
bioinfo_2014-02_61	french
bioinfo_2014-01_98	french
bioinfo_2014-10_20	french
bioinfo_2014-05_1	english
bioinfo_2014-02_45	french
bioinfo_2014-06_48	english
bioinfo_2014-10_94	french
bioinfo_2014-05_70	french
bioinfo_2014-12_69	french
bioinfo_2014-04_90	english
bioinfo_2014-12_58	french
bioinfo_2014-10_2	french (conflict)
bioinfo_2014-04_73	english (conflict)
bioinfo_2014-07_1	english
bioinfo_2014-03_53	english
bioinfo_2014-09_87	english
bioinfo_2014-02_71	french
bioinfo_2014-07_8	french
bioinfo_2014-09_70	french
bioinfo_2014-01_35	french
bioinfo_2014-08_23	french
bioinfo_2014-06_77	french
bioinfo_2014-04_95	french
bioinfo_2014-12_55	english
bioinfo_2014-07_73	french
bioinfo_2014-07_76	french
bioinfo_2014-08_1	french
bioinfo_2014-05_18	english
bioinfo_2014-12_7	french
bioinfo_2014-02_39	french
bioinfo_2014-12_48	english
bioinfo_2014-06_39	french
bioinfo_2014-01_81	english
bioinfo_2014-07_91	french
bioinfo_2014-10_107	english
bioinfo_2014-07_21	french
bioinfo_2014-04_25	english (conflict)
bioinfo_2014-04_11	french
bioinfo_2014-01_15	french
bioinfo_2014-12_54	english (conflict)
bioinfo_2014-10_93	english
bioinfo_2014-09_19	english
bioinfo_2014-02_65	french
bioinfo_2014-12_28	french
bioinfo_2014-02_66	french
bioinfo_2014-11_21	french
bioinfo_2014-06_96	french
bioinfo_2014-02_73	french
bioinfo_2014-08_25	french
bioinfo_2014-08_2	english
bioinfo_2014-03_23	english
bioinfo_2014-04_93	english
bioinfo_2014-11_26	french
bioinfo_2014-04_106	french
bioinfo_2014-04_2	english
bioinfo_2014-09_7	french
bioinfo_2014-06_6	french
bioinfo_2014-09_53	french
bioinfo_2014-10_90	french
bioinfo_2014-08_7	english
bioinfo_2014-04_107	french
bioinfo_2014-02_86	french
bioinfo_2014-10_40	french
bioinfo_2014-05_48	french
bioinfo_2014-07_52	non detect (conflict)
bioinfo_2014-01_9	french
bioinfo_2014-06_53	english
bioinfo_2014-09_68	french
bioinfo_2014-03_9	french
bioinfo_2014-03_38	french
bioinfo_2014-02_37	french
bioinfo_2014-09_57	french
bioinfo_2014-04_109	french
bioinfo_2014-01_1	french
bioinfo_2014-11_6	french
bioinfo_2014-12_57	french
bioinfo_2014-06_71	english
bioinfo_2014-03_5	english
bioinfo_2014-05_79	english
bioinfo_2014-05_77	english
bioinfo_2014-10_79	french
bioinfo_2014-06_98	french
bioinfo_2014-11_51	french
bioinfo_2014-06_88	french
bioinfo_2014-10_22	french
bioinfo_2014-02_83	french
bioinfo_2014-05_28	english
bioinfo_2014-06_66	english
bioinfo_2014-09_82	french (conflict)
bioinfo_2014-11_48	french
bioinfo_2014-12_64	french
bioinfo_2014-02_18	english
bioinfo_2014-11_2	french
bioinfo_2014-11_50	french
bioinfo_2014-10_23	french
bioinfo_2014-10_48	french
bioinfo_2014-10_12	french
bioinfo_2014-05_34	english
bioinfo_2014-07_77	english
bioinfo_2014-09_58	french
bioinfo_2014-05_19	french
bioinfo_2014-12_45	english
bioinfo_2014-12_21	french
bioinfo_2014-10_57	french
bioinfo_2014-11_37	french
bioinfo_2014-05_23	french
bioinfo_2014-10_7	english
bioinfo_2014-11_36	french
bioinfo_2014-03_35	english
bioinfo_2014-03_34	english
bioinfo_2014-04_56	french
bioinfo_2014-12_11	french
bioinfo_2014-08_3	french (conflict)
bioinfo_2014-07_38	english
bioinfo_2014-02_85	french
bioinfo_2014-02_22	french
bioinfo_2014-06_78	french
bioinfo_2014-04_65	french
bioinfo_2014-03_1	english
bioinfo_2014-09_5	french
bioinfo_2014-04_76	french
bioinfo_2014-05_13	english
bioinfo_2014-10_70	english
bioinfo_2014-01_40	french
bioinfo_2014-07_70	english
bioinfo_2014-04_80	english
bioinfo_2014-02_92	english
bioinfo_2014-06_50	french
bioinfo_2014-07_34	french
bioinfo_2014-07_14	english
bioinfo_2014-04_57	french
bioinfo_2014-10_58	french
bioinfo_2014-11_7	french
bioinfo_2014-06_60	french
bioinfo_2014-01_21	french
bioinfo_2014-06_25	french
bioinfo_2014-10_59	french
bioinfo_2014-07_63	french
bioinfo_2014-09_36	french
bioinfo_2014-06_36	french
bioinfo_2014-03_24	french
bioinfo_2014-10_31	french
bioinfo_2014-11_73	french
bioinfo_2014-04_104	english
bioinfo_2014-02_17	english (conflict)
bioinfo_2014-11_14	french
bioinfo_2014-04_49	english
bioinfo_2014-01_74	french
bioinfo_2014-11_89	french
bioinfo_2014-09_1	french
bioinfo_2014-10_91	french
bioinfo_2014-07_47	english
bioinfo_2014-01_84	english
bioinfo_2014-10_82	french
bioinfo_2014-04_22	french
bioinfo_2014-10_34	french
bioinfo_2014-05_66	french
bioinfo_2014-01_4	french
bioinfo_2014-05_14	french
bioinfo_2014-06_86	french
bioinfo_2014-10_50	french
bioinfo_2014-06_67	english
bioinfo_2014-10_47	english
bioinfo_2014-05_16	french
bioinfo_2014-02_54	french
bioinfo_2014-04_96	french
bioinfo_2014-09_61	french
bioinfo_2014-11_77	english
bioinfo_2014-01_65	english
bioinfo_2014-03_6	french
bioinfo_2014-02_27	french
bioinfo_2014-12_71	french
bioinfo_2014-02_31	english
bioinfo_2014-08_26	french
bioinfo_2014-01_19	english
bioinfo_2014-02_57	french
bioinfo_2014-07_45	french
bioinfo_2014-07_35	french
bioinfo_2014-02_46	french (conflict)
bioinfo_2014-03_43	french
bioinfo_2014-06_5	english
bioinfo_2014-06_97	french
bioinfo_2014-09_40	french
bioinfo_2014-09_25	english
bioinfo_2014-06_69	french
bioinfo_2014-02_60	french
bioinfo_2014-02_75	french
bioinfo_2014-08_9	english
bioinfo_2014-05_31	english
bioinfo_2014-02_15	english
bioinfo_2014-06_93	french
bioinfo_2014-08_31	french
bioinfo_2014-10_21	french
bioinfo_2014-07_5	french
bioinfo_2014-05_30	english
bioinfo_2014-06_76	french
bioinfo_2014-09_14	french
bioinfo_2014-06_32	english (conflict)
bioinfo_2014-10_88	french
bioinfo_2014-11_34	french (conflict)
bioinfo_2014-11_62	french
bioinfo_2014-06_74	english
bioinfo_2014-12_41	french
bioinfo_2014-02_5	english
bioinfo_2014-09_39	french
bioinfo_2014-05_49	english
bioinfo_2014-11_27	french
bioinfo_2014-11_94	french
bioinfo_2014-05_82	english
bioinfo_2014-04_6	english
bioinfo_2014-10_76	french
bioinfo_2014-04_10	english
bioinfo_2014-03_17	french
bioinfo_2014-01_39	french
bioinfo_2014-06_49	french
bioinfo_2014-11_88	french
bioinfo_2014-03_63	french
bioinfo_2014-01_94	french
bioinfo_2014-12_32	french
bioinfo_2014-01_67	english
bioinfo_2014-02_10	french
bioinfo_2014-12_63	french
bioinfo_2014-01_63	french
bioinfo_2014-09_56	french
bioinfo_2014-12_24	french
bioinfo_2014-09_8	english
bioinfo_2014-09_46	french
bioinfo_2014-06_44	french
bioinfo_2014-09_6	french
bioinfo_2014-05_24	english
bioinfo_2014-04_84	french
bioinfo_2014-07_32	french
bioinfo_2014-02_62	english (conflict)
bioinfo_2014-06_47	french
bioinfo_2014-11_93	french
bioinfo_2014-03_19	french
bioinfo_2014-02_59	french
bioinfo_2014-11_95	french
bioinfo_2014-09_86	french
bioinfo_2014-11_81	french
bioinfo_2014-01_96	french
bioinfo_2014-09_63	english
bioinfo_2014-10_6	french
bioinfo_2014-12_3	french (conflict)
bioinfo_2014-10_67	english
bioinfo_2014-11_83	french
bioinfo_2014-12_30	french
bioinfo_2014-10_1	french
bioinfo_2014-10_104	french
bioinfo_2014-02_12	french
bioinfo_2014-03_16	french
bioinfo_2014-03_48	french
bioinfo_2014-09_66	english (conflict)
bioinfo_2014-10_26	french
bioinfo_2014-07_54	french
bioinfo_2014-12_35	english
bioinfo_2014-03_21	french
bioinfo_2014-01_38	french
bioinfo_2014-04_28	english
bioinfo_2014-05_47	french
bioinfo_2014-02_3	french
bioinfo_2014-02_1	english
bioinfo_2014-01_25	french
bioinfo_2014-04_98	french
bioinfo_2014-10_39	french
bioinfo_2014-09_89	french
bioinfo_2014-07_7	english
bioinfo_2014-01_26	french
bioinfo_2014-10_9	english
bioinfo_2014-03_15	french
bioinfo_2014-10_10	english
bioinfo_2014-12_52	french
bioinfo_2014-02_58	french
bioinfo_2014-06_11	english
bioinfo_2014-04_66	english
bioinfo_2014-10_5	french
bioinfo_2014-02_11	french
bioinfo_2014-06_79	english
bioinfo_2014-04_47	english (conflict)
bioinfo_2014-06_24	english
bioinfo_2014-07_18	french
bioinfo_2014-10_18	english
bioinfo_2014-09_59	english
bioinfo_2014-09_73	french
bioinfo_2014-10_27	english
bioinfo_2014-05_50	french
bioinfo_2014-11_70	french
bioinfo_2014-02_91	english
bioinfo_2014-12_46	french
bioinfo_2014-10_64	french
bioinfo_2014-02_8	french
bioinfo_2014-11_78	french (conflict)
bioinfo_2014-04_3	french
bioinfo_2014-03_20	french
bioinfo_2014-05_62	french
bioinfo_2014-06_73	english
bioinfo_2014-10_80	french
bioinfo_2014-01_83	english
bioinfo_2014-01_30	english
bioinfo_2014-07_41	french
bioinfo_2014-12_1	english
bioinfo_2014-04_37	english
bioinfo_2014-06_46	french
bioinfo_2014-11_39	english
bioinfo_2014-07_85	french
bioinfo_2014-04_9	french
bioinfo_2014-10_8	french
bioinfo_2014-09_54	french (conflict)
bioinfo_2014-06_20	english
bioinfo_2014-07_59	french
bioinfo_2014-04_29	french
bioinfo_2014-11_85	french
bioinfo_2014-08_6	french
bioinfo_2014-07_15	english
bioinfo_2014-03_30	english
bioinfo_2014-06_9	english
bioinfo_2014-07_71	french
bioinfo_2014-10_28	french
bioinfo_2014-11_28	english
bioinfo_2014-11_22	english
bioinfo_2014-07_44	french
bioinfo_2014-05_61	french
bioinfo_2014-07_26	french
bioinfo_2014-02_79	french
bioinfo_2014-07_72	french
bioinfo_2014-03_10	french
bioinfo_2014-07_29	french
bioinfo_2014-07_64	french
bioinfo_2014-11_53	french
bioinfo_2014-11_24	french
bioinfo_2014-02_19	french
bioinfo_2014-04_55	english
bioinfo_2014-06_14	french
bioinfo_2014-02_48	french
bioinfo_2014-04_39	french
bioinfo_2014-09_38	english (conflict)
bioinfo_2014-03_25	english
bioinfo_2014-09_28	french
bioinfo_2014-04_88	french (conflict)
bioinfo_2014-08_11	french
bioinfo_2014-03_29	french
bioinfo_2014-11_25	english
bioinfo_2014-01_56	english (conflict)
bioinfo_2014-07_40	english
bioinfo_2014-10_14	english
bioinfo_2014-03_50	french
bioinfo_2014-04_33	french (conflict)
bioinfo_2014-05_58	english
bioinfo_2014-06_92	french
bioinfo_2014-08_27	french
bioinfo_2014-01_86	french
bioinfo_2014-06_59	french
bioinfo_2014-10_92	english
bioinfo_2014-01_3	french
bioinfo_2014-09_32	french
bioinfo_2014-07_82	french
bioinfo_2014-01_7	french
bioinfo_2014-02_7	french
bioinfo_2014-04_101	french
bioinfo_2014-01_57	english (conflict)
bioinfo_2014-01_58	english (conflict)
bioinfo_2014-01_48	french
bioinfo_2014-04_7	english
bioinfo_2014-03_31	french
bioinfo_2014-05_9	english
bioinfo_2014-09_10	french
bioinfo_2014-08_8	french
bioinfo_2014-02_44	french
bioinfo_2014-03_55	english
bioinfo_2014-05_39	french
bioinfo_2014-02_34	french
bioinfo_2014-11_72	english (conflict)
bioinfo_2014-03_54	english
bioinfo_2014-09_13	french
bioinfo_2014-02_56	french
bioinfo_2014-09_17	french
bioinfo_2014-04_83	french
bioinfo_2014-01_42	french
bioinfo_2014-10_45	french
bioinfo_2014-12_39	english
bioinfo_2014-09_37	english
bioinfo_2014-04_26	french
bioinfo_2014-05_52	french
bioinfo_2014-02_41	french
bioinfo_2014-02_67	english
bioinfo_2014-07_61	french
bioinfo_2014-05_68	english
bioinfo_2014-06_43	french
bioinfo_2014-08_4	english (conflict)
bioinfo_2014-06_63	french
bioinfo_2014-05_83	english
bioinfo_2014-12_5	french
bioinfo_2014-06_83	english
bioinfo_2014-08_28	french
bioinfo_2014-09_52	french
bioinfo_2014-03_61	french
bioinfo_2014-10_19	english (conflict)
bioinfo_2014-09_85	french
bioinfo_2014-04_21	english
bioinfo_2014-07_62	french
bioinfo_2014-05_57	french
bioinfo_2014-10_106	english
bioinfo_2014-09_44	french
bioinfo_2014-01_28	french
bioinfo_2014-04_60	french
bioinfo_2014-04_16	english
bioinfo_2014-10_97	french
bioinfo_2014-06_18	french (conflict)
bioinfo_2014-11_19	french
bioinfo_2014-06_7	french
bioinfo_2014-05_76	french
bioinfo_2014-06_95	english (conflict)
bioinfo_2014-09_34	french
bioinfo_2014-10_102	french
bioinfo_2014-10_100	english
bioinfo_2014-02_23	english
bioinfo_2014-04_103	french
bioinfo_2014-11_40	french
bioinfo_2014-07_57	english
bioinfo_2014-05_5	english
bioinfo_2014-10_62	french
bioinfo_2014-10_16	french
bioinfo_2014-12_67	french
bioinfo_2014-07_31	english (conflict)
bioinfo_2014-09_92	english
bioinfo_2014-01_37	french
bioinfo_2014-06_80	french
bioinfo_2014-02_77	french
bioinfo_2014-12_44	english
bioinfo_2014-09_78	french (conflict)
bioinfo_2014-11_76	french
